,SPY,JPM
2008-01-02,,
2008-01-03,,
2008-01-04,,
2008-01-07,,
2008-01-08,,
2008-01-09,,
2008-01-10,,
2008-01-11,,
2008-01-14,,
2008-01-15,-0.665697847544,-0.646797136448
2008-01-16,-0.763296260871,0.200622368817
2008-01-17,-1.33538230629,-0.239809175289
2008-01-18,-1.45050670409,-0.356282785516
2008-01-22,-1.53402290378,0.127769870468
2008-01-23,-0.663734430924,1.66432898967
2008-01-24,-0.265053185041,1.20663606608
2008-01-25,-0.540146280977,0.649821984174
2008-01-28,0.113023966792,1.15501879994
2008-01-29,0.407566289578,1.57722869497
2008-01-30,0.241480580374,1.23560808164
2008-01-31,0.835545460456,1.03659107412
2008-02-01,1.21928849149,1.02494512584
2008-02-04,0.649081235605,0.136076125333
2008-02-05,-0.329071400062,-0.71560786021
2008-02-06,-0.569820806833,-0.707276070127
2008-02-07,-0.331984761981,-0.261191539134
2008-02-08,-0.540003422068,-0.68549210217
2008-02-11,-0.339575758414,-0.76968264813
2008-02-12,-0.0167283208265,-0.651678247755
2008-02-13,0.282706863344,-0.288018948945
2008-02-14,0.0436862893217,-0.629047916156
2008-02-15,0.143862733421,-0.252143676685
2008-02-19,0.293901780785,-0.280464684059
2008-02-20,0.348632777451,-0.147382543807
2008-02-21,0.0308628291687,-0.151693749715
2008-02-22,0.189776709599,0.181471884275
2008-02-25,0.50080293162,0.208029937818
2008-02-26,0.636996153489,0.0900561153041
2008-02-27,0.523568080924,0.288078753776
2008-02-28,0.186621197427,-0.329704274057
2008-02-29,-0.515749158391,-0.878569187943
2008-03-03,-0.553751819865,-1.05546103867
2008-03-04,-0.618260586547,-1.15564068489
2008-03-05,-0.364029457114,-1.17066736543
2008-03-06,-0.948221937672,-1.47335724566
2008-03-07,-1.13745906618,-1.19636048701
2008-03-10,-1.3367399003,-1.33726220788
2008-03-11,-0.0643393636259,-0.285404470745
2008-03-12,-0.202262197276,-0.156111304465
2008-03-13,-0.00229850798433,-0.185108511205
2008-03-14,-0.40675459555,-0.637362197032
2008-03-17,-0.605461087091,0.811159720999
2008-03-18,0.714483506403,1.59329055136
2008-03-19,-0.0278528840335,1.34348974051
2008-03-20,0.535679019759,2.29914302036
2008-03-24,1.05483003176,2.13177592097
2008-03-25,0.894863923609,1.56478345654
2008-03-26,0.451669899493,0.67544176994
2008-03-27,0.293659447823,0.0841587828225
2008-03-28,-0.0343852724424,-0.12881159977
2008-03-31,0.00511022125197,-0.263263314642
2008-04-01,0.929257590348,0.871250375561
2008-04-02,0.856717156875,0.60653355416
2008-04-03,0.757477514187,0.477414263624
2008-04-04,0.600345165344,0.243775357528
2008-04-07,0.560910494914,0.254256901848
2008-04-08,0.477934221321,0.0543434146681
2008-04-09,0.175025846313,-0.148089674099
2008-04-10,0.141180645262,-0.339717958645
2008-04-11,-0.542319937935,-0.78434812017
2008-04-14,-0.673156732601,-1.09238382934
2008-04-15,-0.519326579586,-0.744448765109
2008-04-16,0.351501296989,0.251187986104
2008-04-17,0.399055152359,0.346146304846
2008-04-18,0.706066568194,0.556028931942
2008-04-21,0.685263995483,0.387338119539
2008-04-22,0.510134536227,0.502678330115
2008-04-23,0.411399789838,0.305062352076
2008-04-24,0.499789353011,0.805050146899
2008-04-25,0.654551618011,0.894405406987
2008-04-28,0.499714467577,0.543868384887
2008-04-29,0.227170964436,0.294034334004
2008-04-30,-0.000426017376901,0.390411389265
2008-05-01,0.579356736921,0.763002123092
2008-05-02,0.59930565662,0.481364656029
2008-05-05,0.385368944623,0.183462760718
2008-05-06,0.574749848917,0.164064137833
2008-05-07,-0.0618204271405,-0.384660223897
2008-05-08,-0.165840214744,-0.519533930275
2008-05-09,-0.210979524568,-0.319720236082
2008-05-12,0.135412240835,-0.109471399469
2008-05-13,0.107479731892,-0.611930147288
2008-05-14,0.115023900041,-0.422504880251
2008-05-15,0.494526163233,-0.003281374223
2008-05-16,0.49772281824,-0.0909290262466
2008-05-19,0.534374258522,-0.200495795442
2008-05-20,0.268828459914,-0.793090769935
2008-05-21,-0.289579549667,-1.08214708336
2008-05-22,-0.292545166919,-0.784658442518
2008-05-23,-0.69851183916,-0.892088636334
2008-05-27,-0.420615246938,-0.530972297737
2008-05-28,-0.243106816333,-0.497170639434
2008-05-29,-0.0622067817129,-0.178933157347
2008-05-30,0.0704339356779,-0.239603381559
2008-06-02,-0.181761007467,-0.382736964035
2008-06-03,-0.256082318995,-0.334528587814
2008-06-04,-0.1834794411,-0.354645357214
2008-06-05,0.437787085634,-0.18035880856
2008-06-06,-0.545890162705,-0.780618221703
2008-06-09,-0.444570251504,-1.53805805705
2008-06-10,-0.54154469573,-1.10429049235
2008-06-11,-0.894033845168,-1.33481391583
2008-06-12,-0.642484751873,-0.821716970289
2008-06-13,-0.135718192782,-0.11354409119
2008-06-16,-0.0535008228236,0.103189675254
2008-06-17,-0.150600939927,-0.129128340259
2008-06-18,-0.378958898691,-0.132008495078
2008-06-19,-0.187015212316,-0.0382906459965
2008-06-20,-0.617391632379,-0.254548754637
2008-06-23,-0.541600975378,-0.613109221006
2008-06-24,-0.507342913159,-0.263703297426
2008-06-25,-0.319709630008,-0.222029900111
2008-06-26,-1.07010379088,-0.773639936496
2008-06-27,-1.05224997708,-1.10426946848
2008-06-30,-0.757851820097,-1.19091120199
2008-07-01,-0.497032853234,-0.983132219935
2008-07-02,-0.870291194548,-0.600124411744
2008-07-03,-0.653265515191,-0.188566495467
2008-07-07,-0.819241964814,-0.579811840045
2008-07-08,-0.143115766494,0.176774751428
