,Order,Date,Symbol,Shares
2010-01-04,HOLD,2010-01-04,JPM,0
2010-01-05,HOLD,2010-01-05,JPM,0
2010-01-06,HOLD,2010-01-06,JPM,0
2010-01-07,HOLD,2010-01-07,JPM,0
2010-01-08,HOLD,2010-01-08,JPM,0
2010-01-11,HOLD,2010-01-11,JPM,0
2010-01-12,HOLD,2010-01-12,JPM,0
2010-01-13,HOLD,2010-01-13,JPM,0
2010-01-14,HOLD,2010-01-14,JPM,0
2010-01-15,HOLD,2010-01-15,JPM,0
2010-01-19,HOLD,2010-01-19,JPM,0
2010-01-20,HOLD,2010-01-20,JPM,0
2010-01-21,HOLD,2010-01-21,JPM,0
2010-01-22,BUY,2010-01-22,JPM,1000
2010-01-25,HOLD,2010-01-25,JPM,0
2010-01-26,HOLD,2010-01-26,JPM,0
2010-01-27,HOLD,2010-01-27,JPM,0
2010-01-28,HOLD,2010-01-28,JPM,0
2010-01-29,HOLD,2010-01-29,JPM,0
2010-02-01,HOLD,2010-02-01,JPM,0
2010-02-02,HOLD,2010-02-02,JPM,0
2010-02-03,HOLD,2010-02-03,JPM,0
2010-02-04,HOLD,2010-02-04,JPM,0
2010-02-05,HOLD,2010-02-05,JPM,0
2010-02-08,HOLD,2010-02-08,JPM,0
2010-02-09,HOLD,2010-02-09,JPM,0
2010-02-10,SELL,2010-02-10,JPM,1000
2010-02-11,HOLD,2010-02-11,JPM,0
2010-02-12,HOLD,2010-02-12,JPM,0
2010-02-16,HOLD,2010-02-16,JPM,0
2010-02-17,HOLD,2010-02-17,JPM,0
2010-02-18,HOLD,2010-02-18,JPM,0
2010-02-19,HOLD,2010-02-19,JPM,0
2010-02-22,HOLD,2010-02-22,JPM,0
2010-02-23,HOLD,2010-02-23,JPM,0
2010-02-24,HOLD,2010-02-24,JPM,0
2010-02-25,HOLD,2010-02-25,JPM,0
2010-02-26,HOLD,2010-02-26,JPM,0
2010-03-01,HOLD,2010-03-01,JPM,0
2010-03-02,HOLD,2010-03-02,JPM,0
2010-03-03,HOLD,2010-03-03,JPM,0
2010-03-04,HOLD,2010-03-04,JPM,0
2010-03-05,HOLD,2010-03-05,JPM,0
2010-03-08,HOLD,2010-03-08,JPM,0
2010-03-09,HOLD,2010-03-09,JPM,0
2010-03-10,HOLD,2010-03-10,JPM,0
2010-03-11,HOLD,2010-03-11,JPM,0
2010-03-12,HOLD,2010-03-12,JPM,0
2010-03-15,HOLD,2010-03-15,JPM,0
2010-03-16,HOLD,2010-03-16,JPM,0
2010-03-17,HOLD,2010-03-17,JPM,0
2010-03-18,HOLD,2010-03-18,JPM,0
2010-03-19,HOLD,2010-03-19,JPM,0
2010-03-22,HOLD,2010-03-22,JPM,0
2010-03-23,HOLD,2010-03-23,JPM,0
2010-03-24,HOLD,2010-03-24,JPM,0
2010-03-25,HOLD,2010-03-25,JPM,0
2010-03-26,HOLD,2010-03-26,JPM,0
2010-03-29,HOLD,2010-03-29,JPM,0
2010-03-30,HOLD,2010-03-30,JPM,0
2010-03-31,HOLD,2010-03-31,JPM,0
2010-04-01,HOLD,2010-04-01,JPM,0
2010-04-05,HOLD,2010-04-05,JPM,0
2010-04-06,HOLD,2010-04-06,JPM,0
2010-04-07,HOLD,2010-04-07,JPM,0
2010-04-08,HOLD,2010-04-08,JPM,0
2010-04-09,HOLD,2010-04-09,JPM,0
2010-04-12,HOLD,2010-04-12,JPM,0
2010-04-13,HOLD,2010-04-13,JPM,0
2010-04-14,SELL,2010-04-14,JPM,1000
2010-04-15,HOLD,2010-04-15,JPM,0
2010-04-16,HOLD,2010-04-16,JPM,0
2010-04-19,HOLD,2010-04-19,JPM,0
2010-04-20,HOLD,2010-04-20,JPM,0
2010-04-21,HOLD,2010-04-21,JPM,0
2010-04-22,HOLD,2010-04-22,JPM,0
2010-04-23,HOLD,2010-04-23,JPM,0
2010-04-26,HOLD,2010-04-26,JPM,0
2010-04-27,HOLD,2010-04-27,JPM,0
2010-04-28,BUY,2010-04-28,JPM,2000
2010-04-29,HOLD,2010-04-29,JPM,0
2010-04-30,HOLD,2010-04-30,JPM,0
2010-05-03,HOLD,2010-05-03,JPM,0
2010-05-04,HOLD,2010-05-04,JPM,0
2010-05-05,HOLD,2010-05-05,JPM,0
2010-05-06,HOLD,2010-05-06,JPM,0
2010-05-07,HOLD,2010-05-07,JPM,0
2010-05-10,HOLD,2010-05-10,JPM,0
2010-05-11,HOLD,2010-05-11,JPM,0
2010-05-12,HOLD,2010-05-12,JPM,0
2010-05-13,HOLD,2010-05-13,JPM,0
2010-05-14,HOLD,2010-05-14,JPM,0
2010-05-17,HOLD,2010-05-17,JPM,0
2010-05-18,HOLD,2010-05-18,JPM,0
2010-05-19,HOLD,2010-05-19,JPM,0
2010-05-20,HOLD,2010-05-20,JPM,0
2010-05-21,HOLD,2010-05-21,JPM,0
2010-05-24,HOLD,2010-05-24,JPM,0
2010-05-25,HOLD,2010-05-25,JPM,0
2010-05-26,HOLD,2010-05-26,JPM,0
2010-05-27,HOLD,2010-05-27,JPM,0
2010-05-28,HOLD,2010-05-28,JPM,0
2010-06-01,HOLD,2010-06-01,JPM,0
2010-06-02,HOLD,2010-06-02,JPM,0
2010-06-03,SELL,2010-06-03,JPM,1000
2010-06-04,HOLD,2010-06-04,JPM,0
2010-06-07,HOLD,2010-06-07,JPM,0
2010-06-08,HOLD,2010-06-08,JPM,0
2010-06-09,HOLD,2010-06-09,JPM,0
2010-06-10,HOLD,2010-06-10,JPM,0
2010-06-11,HOLD,2010-06-11,JPM,0
2010-06-14,HOLD,2010-06-14,JPM,0
2010-06-15,HOLD,2010-06-15,JPM,0
2010-06-16,HOLD,2010-06-16,JPM,0
2010-06-17,HOLD,2010-06-17,JPM,0
2010-06-18,HOLD,2010-06-18,JPM,0
2010-06-21,HOLD,2010-06-21,JPM,0
2010-06-22,HOLD,2010-06-22,JPM,0
2010-06-23,HOLD,2010-06-23,JPM,0
2010-06-24,HOLD,2010-06-24,JPM,0
2010-06-25,HOLD,2010-06-25,JPM,0
2010-06-28,HOLD,2010-06-28,JPM,0
2010-06-29,HOLD,2010-06-29,JPM,0
2010-06-30,HOLD,2010-06-30,JPM,0
2010-07-01,BUY,2010-07-01,JPM,1000
2010-07-02,HOLD,2010-07-02,JPM,0
2010-07-06,HOLD,2010-07-06,JPM,0
2010-07-07,HOLD,2010-07-07,JPM,0
2010-07-08,SELL,2010-07-08,JPM,1000
2010-07-09,HOLD,2010-07-09,JPM,0
2010-07-12,HOLD,2010-07-12,JPM,0
2010-07-13,HOLD,2010-07-13,JPM,0
2010-07-14,HOLD,2010-07-14,JPM,0
2010-07-15,SELL,2010-07-15,JPM,1000
2010-07-16,HOLD,2010-07-16,JPM,0
2010-07-19,HOLD,2010-07-19,JPM,0
2010-07-20,HOLD,2010-07-20,JPM,0
2010-07-21,HOLD,2010-07-21,JPM,0
2010-07-22,BUY,2010-07-22,JPM,1000
2010-07-23,HOLD,2010-07-23,JPM,0
2010-07-26,HOLD,2010-07-26,JPM,0
2010-07-27,HOLD,2010-07-27,JPM,0
2010-07-28,HOLD,2010-07-28,JPM,0
2010-07-29,HOLD,2010-07-29,JPM,0
2010-07-30,HOLD,2010-07-30,JPM,0
2010-08-02,HOLD,2010-08-02,JPM,0
2010-08-03,HOLD,2010-08-03,JPM,0
2010-08-04,HOLD,2010-08-04,JPM,0
2010-08-05,HOLD,2010-08-05,JPM,0
2010-08-06,HOLD,2010-08-06,JPM,0
2010-08-09,HOLD,2010-08-09,JPM,0
2010-08-10,BUY,2010-08-10,JPM,1000
2010-08-11,HOLD,2010-08-11,JPM,0
2010-08-12,HOLD,2010-08-12,JPM,0
2010-08-13,HOLD,2010-08-13,JPM,0
2010-08-16,HOLD,2010-08-16,JPM,0
2010-08-17,HOLD,2010-08-17,JPM,0
2010-08-18,HOLD,2010-08-18,JPM,0
2010-08-19,HOLD,2010-08-19,JPM,0
2010-08-20,HOLD,2010-08-20,JPM,0
2010-08-23,HOLD,2010-08-23,JPM,0
2010-08-24,HOLD,2010-08-24,JPM,0
2010-08-25,HOLD,2010-08-25,JPM,0
2010-08-26,HOLD,2010-08-26,JPM,0
2010-08-27,HOLD,2010-08-27,JPM,0
2010-08-30,HOLD,2010-08-30,JPM,0
2010-08-31,HOLD,2010-08-31,JPM,0
2010-09-01,HOLD,2010-09-01,JPM,0
2010-09-02,HOLD,2010-09-02,JPM,0
2010-09-03,HOLD,2010-09-03,JPM,0
2010-09-07,HOLD,2010-09-07,JPM,0
2010-09-08,HOLD,2010-09-08,JPM,0
2010-09-09,SELL,2010-09-09,JPM,2000
2010-09-10,HOLD,2010-09-10,JPM,0
2010-09-13,HOLD,2010-09-13,JPM,0
2010-09-14,HOLD,2010-09-14,JPM,0
2010-09-15,HOLD,2010-09-15,JPM,0
2010-09-16,HOLD,2010-09-16,JPM,0
2010-09-17,HOLD,2010-09-17,JPM,0
2010-09-20,HOLD,2010-09-20,JPM,0
2010-09-21,HOLD,2010-09-21,JPM,0
2010-09-22,HOLD,2010-09-22,JPM,0
2010-09-23,HOLD,2010-09-23,JPM,0
2010-09-24,HOLD,2010-09-24,JPM,0
2010-09-27,HOLD,2010-09-27,JPM,0
2010-09-28,HOLD,2010-09-28,JPM,0
2010-09-29,HOLD,2010-09-29,JPM,0
2010-09-30,BUY,2010-09-30,JPM,2000
2010-10-01,HOLD,2010-10-01,JPM,0
2010-10-04,HOLD,2010-10-04,JPM,0
2010-10-05,HOLD,2010-10-05,JPM,0
2010-10-06,HOLD,2010-10-06,JPM,0
2010-10-07,HOLD,2010-10-07,JPM,0
2010-10-08,SELL,2010-10-08,JPM,1000
2010-10-11,HOLD,2010-10-11,JPM,0
2010-10-12,HOLD,2010-10-12,JPM,0
2010-10-13,HOLD,2010-10-13,JPM,0
2010-10-14,HOLD,2010-10-14,JPM,0
2010-10-15,HOLD,2010-10-15,JPM,0
2010-10-18,HOLD,2010-10-18,JPM,0
2010-10-19,HOLD,2010-10-19,JPM,0
2010-10-20,HOLD,2010-10-20,JPM,0
2010-10-21,HOLD,2010-10-21,JPM,0
2010-10-22,HOLD,2010-10-22,JPM,0
2010-10-25,HOLD,2010-10-25,JPM,0
2010-10-26,HOLD,2010-10-26,JPM,0
2010-10-27,HOLD,2010-10-27,JPM,0
2010-10-28,HOLD,2010-10-28,JPM,0
2010-10-29,HOLD,2010-10-29,JPM,0
2010-11-01,HOLD,2010-11-01,JPM,0
2010-11-02,HOLD,2010-11-02,JPM,0
2010-11-03,HOLD,2010-11-03,JPM,0
2010-11-04,HOLD,2010-11-04,JPM,0
2010-11-05,HOLD,2010-11-05,JPM,0
2010-11-08,HOLD,2010-11-08,JPM,0
2010-11-09,HOLD,2010-11-09,JPM,0
2010-11-10,HOLD,2010-11-10,JPM,0
2010-11-11,HOLD,2010-11-11,JPM,0
2010-11-12,HOLD,2010-11-12,JPM,0
2010-11-15,HOLD,2010-11-15,JPM,0
2010-11-16,HOLD,2010-11-16,JPM,0
2010-11-17,HOLD,2010-11-17,JPM,0
2010-11-18,HOLD,2010-11-18,JPM,0
2010-11-19,HOLD,2010-11-19,JPM,0
2010-11-22,HOLD,2010-11-22,JPM,0
2010-11-23,BUY,2010-11-23,JPM,1000
2010-11-24,HOLD,2010-11-24,JPM,0
2010-11-26,HOLD,2010-11-26,JPM,0
2010-11-29,HOLD,2010-11-29,JPM,0
2010-11-30,HOLD,2010-11-30,JPM,0
2010-12-01,HOLD,2010-12-01,JPM,0
